FIPS,MHI_19,MHIMOE_19
440070031005,7906,1716
440070007001,9720,2353
440070019003,10655,4675
440070008002,11730,1857
440070019001,12022,1716
440070152002,12281,1740
440070104001,14063,9488
440070031003,14217,11247
440070029004,14337,2887
440070010002,14534,6885
440070014005,14635,3696
440070007003,15433,3494
440070027003,15556,3880
440070003001,16037,9431
440070018002,16552,9362
440070152001,16597,7027
440070013004,19620,14073
440070026001,20404,9016
440070028002,20500,12540
440070003005,20544,15883
440070111002,20667,2741
440030203005,21417,4352
440070147006,21607,20599
440070141003,21947,11673
440070178003,21968,16555
440070102006,22060,19134
440010306021,22066,16988
440070019005,22282,13135
440070180002,22308,19591
440070108002,22424,7581
440070180001,22917,9363
440070184005,22917,21721
440070183001,24335,7876
440070179003,24625,13940
440070001021,24773,23504
440030223004,25882,14936
440070112004,25902,9341
440070005001,26100,11369
440070109001,26201,7037
440030222022,26500,12297
440070005003,27120,8601
440070174003,27301,8153
440070103001,27547,6255
440070161003,27560,5115
440070180003,27643,8147
440070117012,27697,12743
440050410001,27703,16382
440070036011,27778,16949
440070020002,28359,19255
440070153002,28936,5496
440050405001,28952,12704
440070129001,29038,14453
440070004004,29141,16660
440030203004,29605,7887
440070121042,29659,10158
440070012001,29671,8241
440070022001,29943,13178
440070001012,30575,12596
440070022003,30929,18476
440010305001,31250,17767
440070027004,31250,12276
440070109002,31662,6640
440070101024,31908,7627
440070003003,32016,6740
440070004002,32105,11236
440030209013,32115,24657
440070142002,32308,26979
440070017002,32314,8790
440070029003,32400,30414
440070014004,32610,17646
440070176001,32679,9285
440070026002,32872,11314
440070110002,33378,7008
440070027001,33438,14233
440070164003,33500,16773
440070185001,33839,22008
440070108003,33919,15147
440070110003,34000,5800
440070179002,34671,14952
440070165002,35294,11004
440070151003,35427,12668
440070029005,35754,8175
440070002003,35869,9431
440070035002,35979,17246
440090515032,36000,17968
440070161004,36023,14086
440070006002,36094,20747
440070019006,36142,7852
440070009001,36625,21268
440030206041,36696,15796
440070006001,36806,21901
440070011001,36898,21410
440070012002,37083,10953
440070007002,37120,14706
440070155003,37188,10763
440070141002,37361,14153
440070159002,37452,33102
440070001022,37475,19355
440030202002,37500,33966
440070151001,37542,16266
440070027002,37591,5424
440070009002,37917,18223
440070121041,37917,26332
440070105023,37986,23579
440070160001,38176,15143
440070147003,38365,20556
440070002005,38379,33337
440070016001,38527,30160
440090515042,38676,18262
440070022002,38750,11779
440090508014,38750,16865
440070102003,38833,11571
440070141001,39096,25511
440070164001,39509,10044
440070176002,39777,16411
440070171003,39896,11585
440070174002,40076,7500
440070126022,40262,22125
440070179001,40607,28974
440070181001,40714,6956
440050416011,41176,4531
440070109003,41250,7551
440070174001,41346,22219
440070175002,41591,27710
440030202003,41658,18736
440070182002,41698,4713
440010307002,41929,19208
440070028001,42065,36525
440070023003,42105,23058
440030201022,42188,13094
440010307003,42303,15537
440070154001,42381,28169
440070135003,42422,35365
440070020001,42530,16378
440070151002,42540,21504
440070164002,42614,21154
440070011002,42750,18549
440070105011,42917,8995
440070021024,42969,14355
440090508015,43125,30765
440070018005,43250,30932
440070121031,43289,11844
440070123001,43447,9220
440070127022,43482,20536
440070014003,43556,23032
440070171002,43594,23951
440070112002,43687,36747
440070118001,43711,29688
440070167002,43750,8154
440070171001,44000,15821
440010305002,44162,9625
440070145021,44205,27432
440070104002,44338,11902
440070023001,44455,42410
440070125002,44485,9006
440070016002,44621,31070
440070140003,44708,21264
440070022004,44712,25039
440070139003,44714,17010
440070121024,44754,12063
440070160003,44844,22829
440070168001,45074,23231
440050412001,45294,9389
440090508013,45417,18638
440010305003,45577,21427
440070181002,45577,14943
440070178002,45625,39543
440070001013,45662,29629
440070137014,45694,34298
440030217002,45750,6390
440070014002,45962,30400
440090510004,46250,44958
440070154002,46307,3849
440070106006,46331,34108
440090512011,46458,22071
440030207032,46563,19413
440050402001,46659,6435
440070118003,46680,2776
440070153001,46827,8396
440070175001,46875,29167
440070136002,46964,33574
440070111001,46985,10650
440070121022,47000,22506
440070104005,47075,19510
440070157002,47375,15150
440030206031,47411,14775
440070118002,47500,35209
440070156001,47500,9166
440070031002,47750,20853
440090515044,47895,27488
440070018001,48047,31443
440070120002,48203,19727
440070171004,48239,7895
440010308001,48258,27064
440070037001,48375,17880
440030223002,48622,20437
440030205002,48839,11864
440070185002,48875,24940
440070014001,49107,9807
440070012003,49219,7636
440070110001,49250,16416
440070017003,49524,11148
440070001024,49545,27708
440070115004,49738,10539
440070018004,49920,39328
440070123002,50035,13435
440070002002,50136,39274
440050405002,50139,29672
440070155004,50417,11193
440030221001,50444,19619
440030203002,50476,14663
440070157004,50500,20296
440030215011,50938,12808
440070019002,51042,10308
440050406003,51316,42056
440030203003,51538,27257
440070015001,51650,29676
440070102005,51676,7291
440070016005,52139,20340
440070148001,52176,17253
440070119011,52208,16915
440070029002,52214,39099
440070026003,52228,34408
440070160002,52375,34087
440030202001,52512,21047
440070021013,52557,12049
440070016006,52717,13822
440070166001,52907,6953
440070159003,52962,8795
440070124022,52986,20953
440010309024,53587,8150
440070156003,53611,21925
440070173001,53625,38393
440030204003,53750,14837
440070108001,53750,17135
440070001011,53806,20142
440030219011,53808,5526
440030212003,53869,16376
440070015002,53911,26373
440070137013,53917,6825
440070168003,54118,33453
440070106002,54207,8925
440070028004,54243,28581
440070021025,54356,15272
440070119023,54375,18732
440070021023,54395,24043
440070017001,54432,17411
440070104003,54782,7026
440070025001,54788,5260
440070103002,55308,11449
440050406002,55433,33067
440070001023,55496,6720
440070147001,55503,30415
440090503023,55536,23811
440070124015,55938,24950
440090514001,55938,30717
440050403042,56050,19754
440070161001,56250,20922
440050401032,56917,33636
440070125003,57031,44659
440090508021,57059,23406
440070184001,57159,26817
440070128011,57214,28871
440070114033,57219,25258
440070031004,57232,56033
440070163002,57278,17730
440070013001,57284,46628
440030206011,57329,13593
440070037003,57550,30499
440030206022,57554,14993
440030206021,57569,7215
440070128012,57625,16734
440070150002,57845,10108
440070023004,57857,5200
440090508011,58016,16176
440070010001,58141,24361
440070112003,58214,26981
440070177002,58348,15514
440070113012,58424,15630
440070158005,58542,11220
440070143004,58628,21027
440030215024,58977,23782
440070139002,58988,8756
440090415001,59038,18670
440070023002,59125,40383
440090511022,59464,45019
440070125001,59531,14494
440030219013,59871,33355
440070140002,60031,12602
440070158003,60304,11866
440070137022,60324,22637
440070167001,60417,21492
440090515043,60536,39025
440070170002,60563,10943
440070105024,60583,42263
440090515041,60714,30649
440070035003,60747,6111
440070115002,60750,10357
440030222023,60806,12797
440070115001,60896,18799
440070121021,61172,21163
440030213003,61250,33069
440030219033,61397,38196
440070036012,61618,9062
440070147004,61667,32616
440030206033,61801,15707
440070107024,61806,21158
440070035004,61892,9575
440030204002,61992,17478
440070134001,62014,51653
440090513051,62045,25108
440070117021,62284,7985
440070016004,62311,31528
440070173002,62331,17597
440070137012,62647,29704
440070018006,62656,26778
440090510005,62667,8272
440070105013,62857,25321
440010306011,63281,27846
440030217003,63566,10466
440070124021,63667,16714
440030220002,63750,7853
440090501035,63838,11328
440010301004,64028,32404
440070002001,64115,22735
440030213001,64120,47890
440070124012,64167,25236
440030219022,64327,49521
440070124016,64504,11203
440030222015,64879,8067
440030214022,64899,20272
440030211001,64952,25481
440070147002,65218,46571
440030203001,65341,49953
440050416012,65357,11716
440070161002,65547,26128
440030201011,65625,10840
440090512022,65645,15877
440070105012,65662,6774
440050411002,65859,11050
440070013003,65875,26420
440070158002,65938,10034
440070182001,66023,18871
440070163003,66193,4649
440070145023,66250,55729
440070102007,66354,13029
440070169001,66375,10037
440030223003,66452,22032
440070136003,66477,24278
440070135005,66563,9793
440050403032,66797,8677
440010309021,66806,29991
440070107023,66875,34738
440070170001,66898,9542
440030201023,66912,19229
440070121043,66952,3255
440070024003,67031,33739
440070021022,67105,21999
440070150001,67216,18313
440070025002,67321,14906
440090501033,67330,12939
440070156002,67438,13720
440070155002,67565,34002
440030220003,67614,7604
440050408001,67917,33905
440050411001,67917,23293
440030214012,67935,29934
440030210011,68000,12243
440070177003,68000,16405
440070122001,68070,28511
440030206042,68259,16454
440070169003,68333,12228
440070158004,68472,27628
440070157001,68542,14645
440070121032,68750,20495
440090509012,68875,23191
440070130024,69050,12500
440030222011,69097,24170
440070121023,69167,7789
440050404002,69295,24198
440010309023,69415,38265
440070131012,69500,42221
440010306024,69943,13422
440070143003,70227,33002
440070013002,70357,23374
440010306022,70363,27295
440070173003,70435,22842
440070159001,70492,19276
440070124011,70515,28970
440070177001,70549,14621
440070008003,70662,36151
440030215021,70714,25253
440070011003,70720,14812
440070144001,70833,10625
440070142001,71125,13470
440070119021,71172,29180
440090511012,71450,24188
440050408002,71458,15458
440070101021,71958,8397
440070032004,72000,26765
440030211004,72093,54350
440030206043,72168,9061
440030215012,72188,13556
440070033003,72381,14545
440050417021,72388,5616
440090509021,72428,4690
440030219021,72604,24647
440010308002,72651,9656
440050408003,72692,31193
440070104004,72762,18684
440030217001,72778,21601
440010307004,72940,16878
440070021021,72969,15367
440030211002,73110,12668
440030210021,73190,25430
440070159004,73407,10296
440070021011,73438,18059
440070102004,73639,29849
440050416022,73750,10884
440070117011,73819,9716
440070137023,73897,6015
440070029001,73963,14719
440070019004,74044,44353
440090511021,74056,6195
440030206012,74100,25096
440070126026,74141,21488
440070124014,74393,24588
440030212002,74773,36446
440070132022,74773,62791
440090505001,74947,24092
440050403021,74957,11337
440070137021,75116,18016
440050401011,75417,14110
440090503013,75469,19509
440050405003,75486,15877
440070107022,75598,8841
440070184003,75631,37194
440030224002,75658,5917
440070135001,75882,18719
440010308003,75929,8018
440070140004,75930,28225
440070141004,75938,27326
440070140001,76048,5658
440070106004,76194,9672
440070131021,76250,14445
440030207011,76333,6564
440070127011,76641,37454
440070101013,76776,18043
440070155001,76949,5346
440070168002,77143,28590
440070107025,77222,27768
440030205001,77279,12963
440070024006,77396,37058
440050407001,77417,22759
440030215014,77500,50189
440030209011,77763,18403
440070126012,77917,20366
440090511014,77994,9913
440070028003,78021,56223
440070138002,78140,13757
440070128021,78214,15526
440070120003,78333,27792
440070101014,78393,19090
440070020004,78417,14313
440090507003,78438,9196
440070023006,78510,9972
440070126023,78516,51410
440070107011,78750,14811
440030218001,78802,17091
440090513024,78906,31696
440010307001,79091,46338
440070113011,79205,28643
440070138005,79286,15100
440070101022,79583,30894
440070132013,79655,33205
440070036021,79659,74643
440090512024,79676,42285
440050403022,79688,15255
440070148003,79958,25582
440030208001,80125,19004
440030210024,80208,40484
440030219014,80313,17099
440070033001,80313,30230
440090506001,80313,26553
440090512021,80588,46827
440050417011,80625,15021
440030207021,80972,26266
440070170004,80982,14530
440070144003,81012,12813
440090513026,81250,28963
440030220001,81406,17957
440070128022,81466,5373
440070003004,81672,50036
440070124013,81722,37209
440050404003,81811,7264
440070016003,81875,39495
440010306023,81935,25982
440030209032,82097,40434
440070102001,82109,46401
440070106005,82216,71269
440030210022,82656,36586
440030201013,82702,18098
440030210012,82708,17944
440070133004,82917,33183
440050417022,83078,8712
440030214023,83188,17409
440030214021,83289,20969
440050416021,83472,17514
440070129002,83559,25846
440070134004,83875,21066
440010306012,84000,28627
440090508022,84049,8386
440070021012,84286,12139
440070130021,84336,37086
440070123003,84539,32103
440070129004,84539,36470
440070117023,84583,37739
440030204001,85238,18078
440070003006,85289,64828
440030219012,85446,9132
440090506002,85556,18846
440050406001,85568,23646
440030219023,85625,32700
440070148002,85833,20549
440070127013,86071,18124
440070184004,86118,22580
440050410002,86176,31759
440090504023,86429,42831
440070130013,86991,15060
440050403031,87000,42499
440010309012,87273,13684
440050401012,87277,7083
440070120005,87292,25183
440070146001,87386,14058
440070114032,87422,17620
440070101011,87500,44245
440070033004,87540,52063
440070126021,87639,29884
440090515033,87750,32311
440070145022,88008,26865
440090503021,88009,5642
440030217005,88083,22653
440090512023,88151,28016
440070165003,88214,14668
440030206013,88320,16943
440070143002,88519,18903
440050407003,88625,28891
440030221003,88750,48488
440030206032,88778,14415
440050414001,88852,44488
440070163001,88882,23022
440030212001,88906,24054
440070138004,89000,35267
440070008001,89097,38798
440070015003,89167,15081
440070146003,89167,28383
440090513025,89205,33703
440070131011,89246,10470
440070032001,89432,41552
440070130011,89583,6892
440090504021,89643,66346
440090509011,89722,28236
440030219031,89773,13202
440050403041,89833,33468
440090507001,90184,29405
440030201021,90272,17935
440070185003,90435,26219
440030215023,90469,22415
440050414002,90541,14597
440070128031,90625,23246
440090505002,90625,26257
440090501022,90893,14797
440090507005,90956,42137
440050411003,91042,35051
440070127023,91141,18370
440070024004,91250,70520
440070131022,91250,31542
440030215022,91429,11706
440070114021,91471,29088
440090509013,91489,21566
440070107012,92135,28334
440070119022,92303,55614
440090513041,92375,16369
440070137011,92401,18001
440070146002,92672,23904
440050409003,92684,33807
440030215013,92760,25243
440070037004,92781,13086
440070158001,92903,8033
440050409002,93611,7439
440070136001,93616,8877
440010301003,93750,13680
440030214011,93750,19579
440090513021,93750,32069
440030210023,93976,10793
440070116002,94176,18519
440070113021,94507,10242
440070133002,94792,45549
440090504011,95156,26886
440050413004,95333,34784
440070170003,95417,29561
440070128013,95446,19170
440070133001,95667,24901
440090507006,95707,28050
440070132023,95976,51640
440070114034,96127,15010
440090505003,96319,27348
440070107021,96331,7510
440070132021,96433,21754
440070128032,96488,18766
440070119012,96806,59217
440030224001,96875,19246
440070140005,96923,45684
440010309011,97031,55660
440050407002,97396,38037
440070126025,97829,34402
440070024002,97938,20784
440070143001,98000,60220
440070101023,98042,10182
440030207022,98063,17345
440070126011,98077,15055
440030213002,98224,42983
440090510001,98333,75409
440070131023,98438,15757
440090510002,98958,31115
440070118005,99286,31612
440070157003,99423,10723
440070113023,99468,20894
440070122004,99593,16613
440030214013,99861,9742
440090509022,100087,26372
440070113013,100281,16940
440070101012,100341,51608
440010309013,100588,23273
440070032002,100875,33094
440070120001,101140,26544
440090506004,101250,20300
440030209014,101429,12247
440070142003,101591,8254
440090515024,101776,20718
440030217004,102125,24799
440070114014,102143,26301
440070132014,102167,30706
440070117022,102273,22797
440090511013,102679,20627
440030205003,102778,50266
440070113022,103162,13690
440090511011,103333,99468
440030223001,103587,18059
440070032003,103750,30942
440070134002,103906,35337
440090507002,104796,12342
440050401023,105069,20073
440070139001,105179,39131
440070023005,105466,70213
440070132012,105670,30870
440070127021,105688,18146
440090509023,105804,50702
440050401036,105948,26845
440090515021,106029,36587
440070130012,106125,21011
440090513052,106223,15702
440010301001,106250,28800
440030206014,106250,7886
440090513023,106389,22722
440090515025,106420,35843
440090513061,106654,15586
440090510003,106750,27030
440070133003,106838,22162
440050417023,106979,55196
440090513022,107014,43276
440090501021,107596,23203
440050404001,107841,17106
440010302002,107891,27821
440030218002,107917,25092
440010309022,108065,24429
440070134003,108445,20393
440010302003,109079,44988
440070169002,109261,8406
440030207033,109712,35452
440030222021,110000,15583
440050413001,110338,18040
440010306013,110833,13557
440070033002,111125,10416
440050413005,111250,23377
440030221002,111319,31691
440030222013,111838,40347
440090512012,112711,22677
440070130022,112917,73101
440090501041,114118,15924
440050401022,114135,17835
440030209042,114250,28652
440070114031,114704,18079
440030219032,115000,31547
440070031001,115169,63787
440030216001,115250,19402
440090506003,115625,27475
440070131013,115650,46846
440070122003,117131,18714
440070122002,117716,40177
440070126024,117879,42883
440070165001,118063,26610
440070127012,118203,19286
440090507004,118603,96253
440030221004,119063,56823
440050401035,119286,45150
440070130023,119630,27837
440070144002,119750,20329
440070112001,120094,56943
440070145011,120341,20398
440070145012,120714,22047
440010302001,120909,14704
440030213004,121196,42174
440090501042,121442,22957
440010303003,121688,26523
440070117013,123056,41849
440090513063,123250,24032
440070114015,123750,20680
440050413002,124063,93292
440070036022,124583,39947
440030201012,126150,42959
440030208002,126607,19909
440050401034,126932,84425
440090504012,127143,18377
440070145013,127313,32649
440090515031,127500,24739
440050401013,127697,25347
440070116004,127917,69953
440090503011,128056,27831
440070114013,128618,44222
440030207031,129028,16494
440070115003,129688,33275
440070114022,129773,21592
440010308004,130179,60834
440070138003,133256,36256
440070114011,134766,50009
440030222014,135130,30987
440070105021,135778,48384
440010303001,136029,17982
440030209031,136154,49962
440090504022,136759,36355
440070132011,137679,64431
440090503022,138611,48826
440070024005,139143,79482
440090503012,140406,68213
440070035001,142656,31026
440090509024,142926,69843
440090515023,143352,26486
440010304003,143438,53724
440070116001,147813,48836
440010303002,149091,37315
440070116003,150917,57807
440030209041,156136,28625
440030209033,156797,31676
440030222012,159078,25143
440070034003,159688,47536
440030208003,159731,18222
440090513062,166007,37675
440070034004,168370,32820
440030216002,172969,50835
440030209012,176528,45888
440050409001,179698,38043
440010301002,184844,73442
440070034002,189938,60247
440010304001,206484,54740
440010304002,220417,91638
440070034001,240536,55063
440030211003,,
440039800001,,
440050401021,,
440050401031,,
440050401033,,
440050402002,,
440050406004,,
440050409004,,
440050413003,,
440059900000,,
440070001014,,
440070002004,,
440070003002,,
440070004001,,
440070004003,,
440070005002,,
440070016007,,
440070018003,,
440070020003,,
440070024001,,
440070036023,,
440070037002,,
440070102002,,
440070103003,,
440070105022,,
440070106001,,
440070106003,,
440070112005,,
440070114012,,
440070118004,,
440070120004,,
440070129003,,
440070135002,,
440070135004,,
440070138001,,
440070147005,,
440070175003,,
440070178001,,
440070184002,,
440090415002,,
440090501031,,
440090501032,,
440090501034,,
440090508012,,
440090511023,,
440090515022,,
440099901000,,
440099902000,,